‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       139	-0.00983241	-0.00854393	-0.00661121	-0.00049095	
       140	-0.02014022	-0.00306790	-0.00918817	-0.00113519	
       141	-0.04655400	-0.00306790	-0.00725545	-0.00210154	
       142	-0.04365492	-0.02529413	-0.01144300	-0.00339002	
       143	-0.01917386	-0.02142870	-0.01240936	-0.00274578	
       144	-0.02336141	0.01046111	-0.01047664	0.00595144	
       145	-0.01820751	0.03107674	-0.00886605	0.01207170	
       146	-0.00145731	0.01400442	-0.00661121	0.01110534	
       147	0.01013899	0.00144177	-0.00339002	0.01400442	
       148	0.01271594	-0.00532274	0.00015329	0.01239382	
       149	0.01142746	-0.00661121	0.00079753	0.00949475	
       150	0.01593713	-0.00306790	0.00788415	0.00401872	
       151	0.02141316	-0.00145731	0.00820627	-0.00274578	
       152	0.02624495	-0.00339002	0.00885051	-0.00339002	
       153	0.01078323	0.00498508	0.01046111	-0.00661121	
       154	0.00305236	0.00434084	0.01046111	-0.00661121	
       155	0.02753343	-0.00822181	0.00885051	-0.00532274	
       156	0.01980256	-0.01820751	0.00691779	-0.00467850	
       157	0.00208601	-0.03914526	0.00015329	0.00015329	
       158	-0.00564486	-0.02722684	-0.00210154	-0.00049095	
       159	-0.01369784	-0.01627479	-0.00274578	-0.00274578	
       160	-0.00757757	-0.01144300	-0.00822181	-0.00532274	
       161	0.01786985	-0.00951029	-0.00983241	-0.00532274	
       162	0.00111965	0.00917263	-0.01305360	-0.00177943	
       163	-0.00693333	0.04299515	-0.01047664	0.00240812	
       164	-0.00854393	0.04943754	-0.00951029	-0.00049095	
       165	-0.00693333	0.01948044	-0.00725545	0.00047541	
       166	0.00208601	0.00691779	-0.00467850	0.00015329	
       167	-0.00177943	0.01110534	-0.00016883	-0.00049095	
       168	-0.01659691	0.04911542	0.00498508	-0.00306790	
       169	-0.00789969	0.01658137	0.00756203	-0.00242366	
       170	-0.00145731	-0.00306790	0.00788415	-0.00016883	
       171	-0.01208724	-0.00016883	0.00852839	-0.00016883	
       172	-0.01788539	0.05587992	0.00917263	-0.00016883	
       173	-0.01401996	0.02270164	0.01013899	-0.00403426	
       174	-0.01337572	0.00788415	0.00723991	-0.00628909	
       175	-0.01144300	0.00627356	0.00820627	-0.00789969	
       176	-0.01466419	0.01046111	0.00562932	-0.00500062	
       177	-0.00145731	-0.01240936	0.00176389	-0.00435638	
       178	0.00949475	-0.01176512	-0.00371214	-0.00500062	
       179	0.00659567	-0.00113519	-0.00274578	-0.00339002	
       180	0.00562932	0.00466296	-0.00693333	-0.00757757	
       181	0.00949475	0.00111965	-0.01047664	-0.00500062	
       182	0.00949475	-0.00306790	-0.01240936	0.00466296	
       183	-0.00081307	-0.01047664	-0.01659691	0.01464866	
       184	0.00079753	-0.00306790	-0.01208724	0.01078323	
       185	0.01271594	-0.02175082	-0.01047664	0.00852839	
       186	0.00401872	-0.03527983	-0.00822181	0.01110534	
       187	-0.00306790	-0.03141439	-0.00242366	0.01013899	
       188	-0.01466419	-0.02561625	0.00144177	0.00852839	
       189	-0.01949598	-0.03238075	0.00595144	0.01142746	
       190	-0.00693333	-0.03560194	0.00852839	0.01690349	
       191	0.00305236	-0.00918817	0.01013899	0.00885051	
